x y
204.44851807606528 1396.6537615949894
1206.632830003937 904.6373422211506
797.3621966943342 1308.2243339351455
892.5496568196128 785.5003972651017
1200.6418824926295 900.2160236019769
800.7458428644388 1316.5129701636063
514.0690552034381 1498.3046278647894
1500.938975098775 596.4513531841039
1201.5527664783142 911.8988838008373
491.05513775726325 1499.9728420504478
210.88738350466437 1398.343708940923
792.7679882330401 1298.306087118061
1181.2234464732146 914.773211434187
191.23065997324602 1413.4755079339898
897.8790331375737 793.3734532803629
1511.2729587825174 583.0815583031441
499.4074183479223 1498.5786209858982
191.09876552353424 1396.2816405879366
1198.2343698067357 899.1885202735727
802.2786934353105 1304.3438217071573
893.4586881207829 782.8214873485626
796.7588840107188 1289.6353644101068
204.28168426042114 1393.9028895589656
207.97486105182145 1396.6658814432687
505.62975009923264 1482.8736137798849
892.0496765199922 789.3637404230652
1222.2980483921224 900.3438437860902
496.84687374125764 1483.003818633051
807.783692850165 1298.8810774030758
491.83483719871253 1512.6571355139267
795.9538434944335 1296.6918950261247
902.1448562622109 808.6750208312728
192.10982609571477 1409.7553208640932
1205.2395505747895 887.0469457038791
1194.039297859342 895.0082041999647
202.16617684827315 1399.6151757265934
892.143665666387 798.816164783993
1508.846046865249 614.5491460551399
1491.7091955347335 605.0650625583653
200.97222800804803 1405.7356801015203
1500.734847490761 587.6879567464747
521.8941908921566 1495.4929174561078
1500.811695468679 605.6005953965063
1491.5901249546582 600.183530829314
794.3117528772909 1316.3836740448394
501.4079049167495 1497.1879064200073
1509.7061050897557 603.9275813876724
897.0399957783334 792.44638247742
1192.207453198266 887.0430864268484
1504.851372574475 595.1615536302633
912.4767268149601 801.1608139554644
198.75635876906648 1400.1506332056124
500.41974273242255 1506.6154425986115
907.8064835253449 789.8269069694902
800.6347841976085 1303.7440568111242
776.1437326615343 1305.0563002982772
1205.960280404762 901.972705104517
502.8435562149164 1495.6144891128154
1492.1301106532687 602.1390942395259
894.3545316247952 792.0631387475415
